alt_kullanim;condition_field;condition_operator;condition_value;check_field;check_operator;check_value;severity;category;message
9;;always;;detay_resmi;not_empty;;error;fazla_veri;Karma kullanım alanında resmi kurum detayı olamaz
10;;always;;detay_sosyalaltyapi;not_empty;;error;fazla_veri;Karma kullanım alanında sosyal altyapı detayı olamaz
10;;always;;detay_resmi;not_empty;;error;fazla_veri;Karma kullanım alanında resmi kurum detayı olamaz
11;;always;;detay_konut;not_empty;;error;fazla_veri;Sanayi alanında konut detayı olamaz
11;;always;;detay_sosyalaltyapi;not_empty;;error;fazla_veri;Sanayi alanında sosyal altyapı detayı olamaz
11;;always;;detay_resmi;not_empty;;error;fazla_veri;Sanayi alanında resmi kurum detayı olamaz
12;;always;;detay_konut;not_empty;;error;fazla_veri;Lojistik alanında konut detayı olamaz
12;;always;;detay_sosyalaltyapi;not_empty;;error;fazla_veri;Lojistik alanında sosyal altyapı detayı olamaz
12;;always;;detay_resmi;not_empty;;error;fazla_veri;Lojistik alanında resmi kurum detayı olamaz
13;;always;;detay_konut;not_empty;;error;fazla_veri;OSB alanında konut detayı olamaz
13;;always;;detay_sosyalaltyapi;not_empty;;error;fazla_veri;OSB alanında sosyal altyapı detayı olamaz
13;;always;;detay_resmi;not_empty;;error;fazla_veri;OSB alanında resmi kurum detayı olamaz
19;;always;;detay_sosyalaltyapi;not_empty;;error;fazla_veri;Sanayi-Konut alanında sosyal altyapı detayı olamaz
19;;always;;detay_resmi;not_empty;;error;fazla_veri;Sanayi-Konut alanında resmi kurum detayı olamaz
20;;always;;detay_sosyalaltyapi;not_empty;;error;fazla_veri;Sanayi-Ticaret alanında sosyal altyapı detayı olamaz
20;;always;;detay_resmi;not_empty;;error;fazla_veri;Sanayi-Ticaret alanında resmi kurum detayı olamaz
21;;always;;detay_sosyalaltyapi;not_empty;;error;fazla_veri;Karma kullanım alanında sosyal altyapı detayı olamaz
21;;always;;detay_resmi;not_empty;;error;fazla_veri;Karma kullanım alanında resmi kurum detayı olamaz
25;;always;;detay_konut;not_empty;;error;fazla_veri;Resmi kurum alanında konut detayı olamaz
25;;always;;detay_ticaret;not_empty;;error;fazla_veri;Resmi kurum alanında ticaret detayı olamaz
25;;always;;detay_sosyalaltyapi;not_empty;;error;fazla_veri;Resmi kurum alanında sosyal altyapı detayı olamaz
